TipLabel,level1,level2_order,level3_subord,level4_superfam,level5_fam,PatchClade,BLFamilyLatin
Anastomus_lamelligerus,Aequornithes,Ciconiiformes,,,Ciconiidae,Ciconiidae,Ciconiidae
Anastomus_oscitans,Aequornithes,Ciconiiformes,,,Ciconiidae,Ciconiidae,Ciconiidae
Ciconia_abdimii,Aequornithes,Ciconiiformes,,,Ciconiidae,Ciconiidae,Ciconiidae
Ciconia_boyciana,Aequornithes,Ciconiiformes,,,Ciconiidae,Ciconiidae,Ciconiidae
Ciconia_ciconia,Aequornithes,Ciconiiformes,,,Ciconiidae,Ciconiidae,Ciconiidae
Ciconia_episcopus,Aequornithes,Ciconiiformes,,,Ciconiidae,Ciconiidae,Ciconiidae
Ciconia_maguari,Aequornithes,Ciconiiformes,,,Ciconiidae,Ciconiidae,Ciconiidae
Ciconia_nigra,Aequornithes,Ciconiiformes,,,Ciconiidae,Ciconiidae,Ciconiidae
Ciconia_stormi,Aequornithes,Ciconiiformes,,,Ciconiidae,Ciconiidae,Ciconiidae
Ephippiorhynchus_asiaticus,Aequornithes,Ciconiiformes,,,Ciconiidae,Ciconiidae,Ciconiidae
Ephippiorhynchus_senegalensis,Aequornithes,Ciconiiformes,,,Ciconiidae,Ciconiidae,Ciconiidae
Jabiru_mycteria,Aequornithes,Ciconiiformes,,,Ciconiidae,Ciconiidae,Ciconiidae
Leptoptilos_crumeniferus,Aequornithes,Ciconiiformes,,,Ciconiidae,Ciconiidae,Ciconiidae
Leptoptilos_dubius,Aequornithes,Ciconiiformes,,,Ciconiidae,Ciconiidae,Ciconiidae
Leptoptilos_javanicus,Aequornithes,Ciconiiformes,,,Ciconiidae,Ciconiidae,Ciconiidae
Mycteria_americana,Aequornithes,Ciconiiformes,,,Ciconiidae,Ciconiidae,Ciconiidae
Mycteria_cinerea,Aequornithes,Ciconiiformes,,,Ciconiidae,Ciconiidae,Ciconiidae
Mycteria_ibis,Aequornithes,Ciconiiformes,,,Ciconiidae,Ciconiidae,Ciconiidae
Mycteria_leucocephala,Aequornithes,Ciconiiformes,,,Ciconiidae,Ciconiidae,Ciconiidae
Gavia_adamsii,Aequornithes,Gaviiformes,,,Gaviidae,Gaviidae,Gaviidae
Gavia_arctica,Aequornithes,Gaviiformes,,,Gaviidae,Gaviidae,Gaviidae
Gavia_immer,Aequornithes,Gaviiformes,,,Gaviidae,Gaviidae,Gaviidae
Gavia_pacifica,Aequornithes,Gaviiformes,,,Gaviidae,Gaviidae,Gaviidae
Gavia_stellata,Aequornithes,Gaviiformes,,,Gaviidae,Gaviidae,Gaviidae
Agamia_agami,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Ardea_cinerea,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Ardea_cocoi,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Ardea_goliath,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Ardea_herodias,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Ardea_humbloti,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Ardea_insignis,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Ardea_melanocephala,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Ardea_pacifica,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Ardea_picata,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Ardea_purpurea,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Ardea_sumatrana,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Ardeola_bacchus,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Ardeola_grayii,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Ardeola_idae,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Ardeola_ralloides,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Ardeola_rufiventris,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Ardeola_speciosa,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Botaurus_lentiginosus,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Botaurus_pinnatus,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Botaurus_poiciloptilus,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Botaurus_stellaris,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Bubulcus_ibis,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Butorides_striata,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Butorides_virescens,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Casmerodius_albus,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Cochlearius_cochlearius,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Egretta_ardesiaca,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Egretta_caerulea,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Egretta_eulophotes,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Egretta_garzetta,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Egretta_gularis,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Egretta_novaehollandiae,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Egretta_rufescens,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Egretta_sacra,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Egretta_thula,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Egretta_tricolor,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Egretta_vinaceigula,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Gorsachius_goisagi,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Gorsachius_leuconotus,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Gorsachius_magnificus,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Gorsachius_melanolophus,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Ixobrychus_cinnamomeus,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Ixobrychus_eurhythmus,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Ixobrychus_exilis,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Ixobrychus_flavicollis,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Ixobrychus_involucris,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
Ixobrychus_minutus,Aequornithes,Pelecaniformes,Ardei,,Ardeidae,Ardeidae,Ardeidae
